employee_name,store_name,previous_role,new_role,promotion_date
Terry Griffin,Super Market at Lake Nona,Produce Associate,Bagger,2024-09-04
Grant Watts,Super Market at The Villages,Bakery Associate,Deli Associate,2024-08-22
Alexis Davis,Super Market at The Villages,Customer Service Manager,Cashier,2024-08-16
Eric Drake,Super Market at Conway Crossing Shopping Center,Bakery Associate,Bagger,2024-08-15
John Calhoun,Super Market at Baldwin Park,Meat & Seafood Associate,Pharmacist,2024-08-15
Stephanie Dalton,Super Market at Waterford Lakes,Bagger,Grocery Stock Clerk,2024-08-13
Christina Reynolds,Super Market at The Villages Shopping Center,Bagger,Pharmacy Technician,2024-08-13
Grant Watts,Super Market at The Villages,Deli Associate,Bakery Associate,2024-08-12
Matthew Lucas,Super Market at The Villages,Bagger,Grocery Stock Clerk,2024-08-09
Alexis Davis,Super Market at The Villages,Bagger,Store Manager,2024-07-31
